PhotSys,Nickname,SVO_Nickname,SVO_Name,Zeropoint,Filters,Description,Reference,Comments,N1,N2
Johnson,ubv,GCPD,Johnson.U Johnson.B Johnson.V,Vega,U B V,UBV,Maiz-Apellaniz (2006),zeropoints from Maiz-Apellaniz (2006),,
Bessell & Brett,bessell,_does_not_exist_yet,_does_not_exist_yet,Vega,Ux Bx B V Rc Ic J H K L L' M,UxBxBV(RI)cJHKLL'M,Bessell (1990), Bessell & Brett (1988),,
UBVRIJHK,ubvrijhk,Generic,Bessell.U Bessell.B Bessell.V Bessell.R Bessell.I - - -,Vega,U B V Rc Ic J H K,UBV(RI)cJHK,Maiz-Apellaniz (2006), Bessell (1990),  Bessell & Brett (1988), combination of previous 2 systems
Stroemgren-Crawford,stroemgren,Generic,Stromgren.u Stromgren.v Stromgren.b Stromgren.y - -,Vega,U v b y Hbetaw Hbetan,uvbyHbetawHbetan,Maiz-Apellaniz (2006), Moro & Munari (2000), assumed beta=Hbetaw-Hbetan=2.873 for Vega (Hawk & Mermilliod (1998)),
Tycho-2,gaia_tycho2_2mass,TYCHO,- - TYCHO.B_MvB TYCHO.V_MvB - - -,Vega,V_T B_T,VTBT,Maiz-Apellaniz (2006),,,
Gaia,gaia,GAIA,GAIA0.G GAIA0.Gbp GAIA0.Grp,Vega,G G_BP G_RP,Gaia G GBP GRP,,,,
Gaia DR2 revised,gaiadr2,GAIA,GAIA2r.G GAIA2r.Gbp GAIA2r.Grp,Vega,G G_BP G_RP,Gaia DR2 G GBP GRP,,,,
Gaia DR2 Weiler,gaiadr2weiler,_does_not_exist_yet,_does_not_exist_yet,Vega,G G_BP G_RP,Gaia DR2 G GBP GRP,,,,
Gaia DR2 Maiz,gaiadr2maiz,GAIA,GAIA2m.G GAIA2m.Gbpb GAIA2m.Gbpf GAIA2m.Grp,Vega,G G_BPbr G_BPft G_RP,Gaia DR2 G GBP GRP,,,,
SDSS,sloan,SLOAN,SDSS.u SDSS.g SDSS.r SDSS.i SDSS.z,AB,U g r i z,ugriz,Fukugita et al. (1996),details in Girardi et al. (2004),  uses Pogson's formula for magnitudes,
OGLE-II,ogle,Generic,Bessell.U Bessell.B Bessell.V Bessell.I,Vega,U B V I,UBVI,OGLE website,details in Vanhollebeke et al. (2009),,
ESO/WFI,wfi,LaSilla,_not_transcribed_yet,Vega,WFI wide filters,WFI wide filters,ESO/WFI website,,,
Washington,washington,GCPD,Washington.C_pe Washington.M_pe Washington.T1_pe Washington.T2_pe,Vega,C M T1 T2,CMT1T2,Geisler (1996),,,
DDO51,ddo51,_does_not_exist_yet,_does_not_exist_yet,Vega,CMT1T2 + DDO51 for 3 different focal ratios,CMT1T2 + DDO51 for 3 different focal ratios,Geisler (1996) for Washington, KPNO webpages for DDO51,,
DENIS,denis,DENIS,DENIS.I DENIS.J DENIS.Ks,Vega,I J Ks,IJKs,Fouque et al. (2000),,,
2MASS,2mass,2MASS,2MASS.J 2MASS.H 2MASS.Ks,Vega,J H Ks,JHKs,Cohen et al. (2003),,,
